,450a,550 'w': 'g',550a,550 'w': 'h',555a,555 'w': 'h',555 'w': 'g'
Martinsyde Buzzard,"['F.4 Buzzard', 'Martinsyde F.4 Buzzard']",['Samoloty myśliwskie'],,,,,
Royal Aircraft Factory S.E.5,"['RAF S.E.5', 'RAF SE5', 'S.E.5 (samolot)']",['Samoloty myśliwskie'],,,,,
Sopwith Dolphin,"['5F.1 Dolphin', 'Sopwith 5F.1 Dolphin']",['Samoloty myśliwskie'],,,,,
Bristol F.2 Fighter,"['Bristol F.2B Fighter', 'Bristol Fighter (samolot)']",['Samoloty myśliwskie'],,,,,
McDonnell Douglas F-4 Phantom II (samolot wojskowy),"['McDonnell Douglas F-4 Phantom II', 'F-4 Phantom II', 'McDonnell Douglas F-4E Phantom II']","['Samoloty myśliwskie', 'Samoloty bombowe']",,,,,
Diana (okręt),,['Krążowniki'],,,,,
Pallada (okręt ; 1899-1904),['Pałłada (okręt ; 1899-1904)'],['Krążowniki'],,,,,
Sokół (okręt ; 1940-1949),"['HMS Urchin', 'ORP Sokół', 'Urchin (okręt)', 'Okręt podwodny ORP Sokół']",['Okręty podwodne'],,,,,
Rzemiosło zbrojeniowe,,['Rzemiosło'],"['Broń', 'Damast skuwany', 'Przemysł zbrojeniowy']","['Płatnerstwo', 'Puszkarstwo', 'Rusznikarstwo']",,,
Friedrichshafen FF 33 (wodnosamolot),"['Wilczek (wodnosamolot)', 'Wölfchen (wodnosamolot)']",['Wodnosamolot'],,,,,
Sprzęt ratowniczy,['Sprzęt ratunkowy'],,['Ratownictwo'],['Pas ratowniczy'],,,
Łodzie patrolowe,['Łódź patrolowa'],['Łodzie'],"['Ratownictwo wodne', 'Ratownicy wodni', 'Wody śródlądowe']",,,,
Kampanie wojenne,"['Kampania wojenna', 'Kampanie wojskowe', 'War campaign', 'Wyprawy wojenne']",['Wojna'],"['Najazd Brzetysława I na Polskę (ok. 1039)', 'Wyprawa na Konungahelę (1135)']","['Bitwa galicyjska (1914)', 'Bitwa o Anglię (1940)', 'Bitwa o Madagaskar (1942)', 'Kampania bałkańska (1941)', 'Kampania czehryńska (1678)', 'Kampania Huaihai (1948-1949)', 'Kampania Liaoshen (1948)', 'Kampania mołdawska (1686)', 'Kampania norweska (1940)', 'Kampania zbarasko-zborowska (1649)', 'Kampania zimowo-wiosenna Stefana Czarnieckiego (1656)', 'Ofensywa wielkanocna (1972)', 'Operacje wojenne', 'Wyprawa Aleksandra Wielkiego do Indii (326-325 p.n.e.)', 'Wyprawa chocimska (1538)', 'Wyprawa na Wołyń (1831)', 'Wyprawa pozwolska (1557)']",,,
Operacje wojenne,"['Operacja wojenna', 'Operacja (wojsko)', 'Operacje wojskowe', 'Operacje zbrojne', 'Operacje militarne', 'War-time operations']","['Kampanie wojenne', 'Sztuka operacyjna']",['Operacje reagowania kryzysowego'],"['Allied Force (1999)', 'Bitwa o Charków (1943)', 'Bitwa o Dniepr (1943)', 'Bitwa pod Anzio (1944)', 'Bitwa pod Dunkierką (1940)', 'Interwencja zbrojna Stanów Zjednoczonych na Grenadzie (1983)', 'Interwencja zbrojna Stanów Zjednoczonych w Panamie (1989)', 'Lądowanie w Normandii (1944)', 'Ofensywa Brusiłowa (1916)', 'Operacja Bagration (1944)', 'Operacja Barbarossa (1941)', 'Operacja berlińska (1945)', 'Operacja brzesko-lubelska (1944)', 'Operacja Compass (1940-1941)', 'Operacja charkowska (1942)', 'Operacja Chariot (1942)', 'Operacja dolnośląska (1945)', 'Operacja Goodwood (1944)', 'Operacja ""Grona Gniewu"" (1996)', 'Operacja ""Ho Chi Minh"" (1974-1975)', 'Operacja kaukaska (1942-1943)', 'Operacja lwowsko-sandomierska (1944)', 'Operacja mazowiecko-mazurska (1944-1945)', 'Operacja Mińsk (1919)', 'Operacja mozyrska (1920)', 'Operacja ""Ochronny Brzeg"" (2014)', 'Operacja ostrawsko-opawska (1945)', 'Operacja ""Płynny Ołów"" (2008-2009)', 'Operacja pomorska (1945)', 'Operacja praska (1945)', 'Operacja sandomiersko-śląska (1945)', 'Operacja Trójząb Neptuna (2011)', 'Operacja ""Węzeł gordyjski"" (1970-1971)', 'Operacja wiślańsko-odrzańska (1945)', 'Walki na przyczółku warecko-magnuszewskim (1944)', 'Wyprawa wileńska (1919)', 'Operacje desantowe', 'Operacje lądowe', 'Operacje morskie', 'Operacje obronne', 'Operacje połączone (wojsko)', 'Operacje powietrzne', 'Operacje zaczepne']",,,
EUFOR Althea (operacja pokojowa),"['European Union Force Bosnia and Herzegovina (EUFOR)', 'European Union Force Althea Operation', 'Operacja Althea', 'Operation Althea']",,['Operacje pokojowe'],,,,
3M6 Trzmiel,"['AT-1 Snapper', '3M6 ""Шмель""', 'Trzmiel (pocisk)']",['Pociski przeciwpancerne'],,,,,
Berthier Mle 1907-15,['Karabin Berthier Mle 1907-15'],['Karabin powtarzalny'],,,,,
Lebel Mle 1886,['Karabin Lebel Mle 1886'],['Karabin powtarzalny'],,,,,
Pojazdy półgąsienicowe,"['Half-track vehicles', 'Samochody półgąsienicowe']","['Pojazdy gąsienicowe', 'Pojazdy wojskowe']",,"['Samochód pancerny wz. 28', 'Sd.Kfz. 8 (pojazd półgąsienicowy)', 'Sd.Kfz. 9 (pojazd półgąsienicowy)', 'Sd.Kfz. 10/4 (samobieżne działo przeciwlotnicze)', 'Sd.Kfz. 10/5 (samobieżne działo przeciwlotnicze)']",,,
Operacje lądowe,['Land operations'],['Operacje wojenne'],['Operacje połączone (wojsko)'],"['Ofensywa w Ardenach (1944-1945)', 'Operacja ""Ostra Brama"" (1944)']",,,
Operacje morskie,"['Kampanie morskie', 'Naval operations']",['Operacje wojenne'],['Operacje połączone (wojsko)'],"['Operacja ""Menace"" (1940)']",,,
Operacje powietrzne,"['Air operations', 'Operacje lotnicze']",['Operacje wojenne'],['Operacje połączone (wojsko)'],"['Operacja Afrodyta (1944-1945)', 'Operacja Chastise (1943)', 'Operacja ""Frantic"" (1944)', 'Operacja ""Gomora"" (1943)', 'Operacja Mojżesz (1984-1985)', 'Operacja ""Rolling Thunder"" (1965-1968)', 'Operacje powietrznodesantowe']",,,
Operacje powietrznodesantowe,"['Airborne operations', 'Operacje desantowe powietrzne']","['Operacje desantowe', 'Operacje powietrzne']",['Desant'],"['Bitwa o Kretę (1941)', 'Operacja Market-Garden (1944)', 'Operacja Varsity (1945)']",,,
Operacje desantowe,['Landing operations'],['Operacje wojenne'],"['Desant', 'Operacje połączone (wojsko)']","['Bitwa o Corregidor (1945)', 'Bitwa o Dodekanez (1943)', 'Bitwa o Iwo Jimę (1945)', 'Bitwa o Guadalcanal (1942-1943)', 'Bitwa o Mariany (1944)', 'Operacja ""Husky"" (1943)', 'Operacje powietrznodesantowe', 'Rajd na Dieppe (1942)', 'Wyprawy Cezara do Brytanii (55/54 p.n.e.)']",,,
SU-85 (działo samobieżne),"['Działo samobieżne SU-85', 'SU-85M']","['Działa samobieżne', 'Niszczyciele czołgów']",,,,,
SU-100 (działo samobieżne),['Działo samobieżne SU-100'],"['Działa samobieżne', 'Niszczyciele czołgów']",,,,,
SU-122 (działo samobieżne),,['Działa samobieżne'],,,,,
Semovente da 75/34 (działo samobieżne),"['75/34 (semovente)', 'Działo samobieżne Semovente da 75/34', 'Semovente 75/34', 'Semovente da 75/32', 'Semovente M 42M 75/34']",['Działa samobieżne'],,,,,
Semovente da 105/25 (działo samobieżne),"['105/25 (semovente)', 'Ansaldo 105/25 M43', 'Działo samobieżne Semovente da 105/25', 'Semovente 105/25', 'Semovente da 75/46', 'Semovente M42L da 105/25', 'Semovente M43 da 105/25']",['Działa samobieżne'],,,,,
Semovente da 90/53 (działo samobieżne),"['90/53 (semovente)', 'M.41 da 90/53', 'Semovente 90/53', 'Semovente M41M da 90/53']","['Działa samobieżne', 'Niszczyciele czołgów']",,,,,
Poligon w Biedrusku,['Obóz ćwiczebny Biedrusko'],['Poligon wojskowy'],['Truppenübungsplatz Warthelager'],,,,
Kobiety w służbach mundurowych,"['Kobieta w służbach mundurowych', 'Women in uniformed services']",['Kobieta'],['Służby mundurowe'],,,,
Sd. Kfz. 6 (ciągnik artyleryjski),"['Mittlerer Zugkraftwagen 5t', 'Sonderkraftfahrzeug 6']",['Ciągniki artyleryjskie'],,,,,
Sd. Kfz. 7 (ciągnik artyleryjski),"['Mittlerer Zugkraftwagen 8t', 'Sonderkraftfahrzeug 7']",['Ciągniki artyleryjskie'],,,,,
Systemy przechwytujące bezzałogowe statki powietrzne,"['Działko antydronowe', 'Systemy do przechwytywania bezzałogowych statków powietrznych', 'Systemy do przechwytywania dronów', 'Systemy przechwytujące drony']",,['Bezzałogowe statki powietrzne'],,,,
Normy ISO 27000,['ISO 27000'],,['Bezpieczeństwo informacyjne'],,,,['Normy']
Normy ISO 29100,['ISO 29100'],,['Ochrona danych osobowych'],,,,['Normy']
Dzień Podchorążego (29 listopada),['Święto Podchorążego'],['Święta'],"['Powstanie listopadowe (1830-1831)', 'Szkoły wojskowe']",,,,
Wyścig zbrojeń,['Arms race'],,"['Militaryzm', 'Przemysł zbrojeniowy', 'Wyścig kosmiczny', 'Zbrojenia', 'Zimna wojna']",,,,
Gwardia (wojsko),"['Guard', 'Gwardia przyboczna']",['Wojsko'],,,,,
Wywiad holenderski,['Holenderski wywiad'],,['Wywiad'],,,,
Organizacje żołnierskie,,['Organizacje'],"['Organizacje kombatanckie', 'Żołnierze']",,,,
Dowódcy,"['Adiutanci', 'Commanders', 'Dowództwo', 'Kadra dowódcza', 'Kadra dowódczo-sztabowa', 'Komendanci', 'Wodzowie']",,"['Dowodzenie (wojsko)', 'Naczelny dowódca sił zbrojnych', 'Żołnierze']","['Centurionowie (wojsko rzymskie)', 'Hetmani', 'Trybuni wojskowi (wojsko rzymskie)']",,,
AK (karabin),"['AK-47', 'Kalašnikov (karabin)', 'Kałasznikow AK-47', 'Kałasznikow (karabin)', 'Karabin AK', 'Karabin AK-47', 'Karabin kalašnikov', 'Karabin kałasznikow']",['Karabin automatyczny'],,,,,
Rozejm,"['Armistice', 'Zawieszenie broni']",['Umowa międzynarodowa'],"['Kapitulacja (wojsko)', 'Negocjacje', 'Prawo wojenne', 'Rozejm bożonarodzeniowy (1914)']","['Rozejm andruszowski (1667)', 'Rozejm w Compiègne (1918)', 'Rozejm w Dywilinie (1618)', 'Rozejm w Sztumskiej Wsi (1635)', 'Umowa suwalska (1920)']",,,
Kapitulacja (wojsko),"['Capitulation (military)', 'Poddanie się nieprzyjacielowi']",['Umowa międzynarodowa'],"['Prawo wojenne', 'Rozejm']",,,,
Centralny Poligon Sił Powietrznych (Ustka),"['Centralny Poligon Sił Powietrznych w Ustce', 'Poligon Ustka-Wicko Morskie', 'Ośrodek Szkolenia Poligonowego Wojsk OPL', 'Ośrodek Szkolenia Poligonowego Artylerii Przeciwlotniczej', 'Centralny Poligon Artylerii Przeciwlotniczej', 'Filia Centrum Szkolenia Wojsk Lądowych w Ustce', 'Obóz Ćwiczeń i Poligon Artylerii Przeciwlotniczej', 'Ośrodek Szkolenia Poligonowego Artylerii i Wojsk Obrony P/Lot', 'Ośrodek Szkolenia Poligonowego Wojsk Obrony Przeciwlotniczej', 'Centralny Poligon Wojsk Lotniczych i Obrony Powietrznej']",['Poligon wojskowy'],,,,,
Liberator AL 523,"['Consolidated B-24 Liberator, numer seryjny AL 523', 'Consolidated B-24 Liberator, serial number AL 523', 'Consolidated B-24 Liberator AL 523', 'Liberator LB-30 AL 523', 'Liberator MK II AL 523', 'Liberator MK II nr ew. AL 523', 'Samolot B-24 Liberator II LB-30 nr AL 523', 'Samolot LB-30 Liberator AL 523', 'Samolot LB-30 Liberator, nr fabryczny 21, nr ewidencyjny RAF AL 523']",['Consolidated B-24 Liberator (samolot bombowy)'],['Katastrofa gibraltarska (1943)'],,,,
Wozy dowodzenia,"['Command and control vehicles', 'Pojazdy dowodzenia', 'Wóz dowodzenia']",['Wóz bojowy'],['Dowodzenie (wojsko)'],['Panzerbefehlswagen'],,,
Wojna podjazdowa,"['Podjazd (wojsko)', 'Wojna szarpana']",['Wojna'],"['Działania nieregularne (wojsko)', 'Wojna partyzancka']",,,,
Wojna błyskawiczna,['Blitzkrieg'],['Wojna'],,,,,
Fala (wojsko),['Fala w wojsku'],,"['Zasadnicza służba wojskowa', 'Wojsko']",,,,
Podwójni agenci,['Podwójny agent'],,"['Szpiegostwo', 'Wywiad']",,,,
Ochrona ludności,"['Civil defence', 'Ochrona cywilna']",,"['Ludność cywilna', 'Obrona cywilna', 'Prawo wojenne']",['Mechanizm Ochrony Ludności'],,,
Dźwiękowy system ostrzegawczy,"['Audible warning system', 'DSO', 'Dźwiękowe systemy ostrzegawcze', 'Dźwiękowe systemy ostrzegania', 'Dźwiękowy system ostrzegania', 'Sound warning system (SWS)', 'SWS']",['Sygnalizacja pożarowa'],"['Akustyka budowlana', 'Bezpieczeństwo publiczne', 'Budownictwo', 'Budownictwo inteligentne', 'Elektroakustyka', 'Ewakuacja', 'Instalacje', 'Ochrona przeciwpożarowa', 'System rozgłoszeniowy']",,,,
Henschel Hs 124 (samolot wojskowy),"['Henschel Hs 124', 'Henschel 124', 'He 124', 'Hs 124']","['Samoloty bombowe', 'Samoloty myśliwskie']",,,,,
Focke-Wulf Fw 58 (samolot wojskowy),"['Focke-Wulf Fw 58 (samolot wielozadaniowy)', 'Focke-Wulf 58', 'Fw 58', 'Focke-Wulf Fw 58 ""Weihe""', 'Focke-Wulf Fw 58 Weihe', 'Focke-Wulf Fw 58']",['Samoloty wojskowe wielozadaniowe'],,,,,
Sd. Kfz. 10 (ciągnik artyleryjski),"['Leichter Zugkraftwagen 1t', 'Sonderkraftfahrzeug 10']",['Ciągniki artyleryjskie'],,,,,
Bunty w wojsku,"['Bunt wojskowy', 'Bunt w wojsku', 'Bunty wojskowe', 'Bunty żołnierzy']",,"['Dezercja', 'Wojsko', 'Zamach stanu', 'Żołnierze']",,,,
Fokker F. VII (samolot),['Fokker F. VII'],"['Samoloty bombowe', 'Samoloty pasażerskie']",,,,,
Akagi (okręt),['赤城'],['Lotniskowce'],,,,,
Nakajima Ki-84 Hayate (samolot),"['Ki-84 Wichura', 'Ki-84-Ia Hayate', 'Wichura (samolot)', 'Nakajima Ki-84 Wichura']",['Samoloty myśliwskie'],,,,,
Opiniowanie służbowe żołnierzy zawodowych,"['Opinia służbowa żołnierzy', 'Opiniowanie żołnierzy zawodowych', ""Soldier's assessment""]",['Ocena pracowników'],"['Opiniowanie służbowe funkcjonariuszy', 'Zawodowa służba wojskowa', 'Żołnierze']",,,,
Ratownicy górniczy,['Ratownik górniczy'],['Zawód'],"['Katastrofy górnicze', 'Ratownictwo górnicze', 'Zagrożenia górnicze']",,,,
Świadczenia dla wojska,"['Świadczenia na rzecz wojska', 'Świadczenia wojskowe']",['Świadczenia'],['Wojsko'],,,,
Poligon toruński,"['Poligon Centrum Szkolenia Artylerii i Uzbrojenia (Toruń)', 'Poligon CSAiU (Toruń)', 'Poligon (Toruń)', 'Poligon w Toruniu', 'Toruński, poligon']",['Poligon wojskowy'],,,,,
Arkebuz,"['Arkabuz', 'Arkebuzy', 'Arquebus', 'Harkabuz', 'Harkebuz']",['Broń palna'],,,,,
Juneau (krążowniki),"['USS Juneau', 'USS Juneau (CL-52)']",['Krążowniki'],,,,,
Jastrząb (okręt ; 1963-1990),['ORP Jastrząb (okręt ; 1963-1990)'],['Trałowce projektu 206F'],,,,,
Nysa (okręt ; 1966-1990),['ORP Nysa (okręt ; 1966-1990)'],['Okręty desantowe'],,,,,
Strzelanie artyleryjskie,"['Artyleryjskie strzelanie', 'Strzelania artyleryjskie']",['Strzelanie'],"['Artyleria', 'Działa']",,,,
Strzelanie rakietowe,"['Rakietowe strzelanie', 'Strzelania rakietowe']",['Strzelanie'],"['Broń rakietowa', 'Rakiety']",,,,
Komendant Piłsudski (okręt),"['ORP Komendant Piłsudski', 'Kanonierka Komendant Piłsudski']",['Okręty wojenne'],,,,,
Generał Haller (okręt),"['ORP Generał Haller', 'Kanonierka Generał Haller']",['Okręty wojenne'],,,,,
Panzerkampfwagen I,"['Panzer I', 'PzKpfw I', 'PzKpfw I (Tank)']",['Czołgi lekkie'],,,,,
Heinkel He 70 (samolot rozpoznawczy),"['Heinkel He 70', 'He 70', 'Heinkel 70']",['Samoloty rozpoznawcze'],,,,,
Jednostki wojskowe,"['Jednostki organizacyjne wojska', 'Jednostka wojskowa']",,"['Oddział szturmowy (wojsko)', 'Pododdział (wojsko)', 'Rozformowanie jednostki wojskowej', 'Wojsko', 'Wojskowy oddział gospodarczy (WOG)']",,['Dziennik działań bojowych'],,
Pracownicy cywilni wojska,"['Civilian personnel', 'Cywilni pracownicy wojska', 'Personel cywilny w wojsku', 'Pracownicy cywilni w wojsku']",,['Administracja wojskowa'],,,,
Bezpieczeństwo jądrowe,"['Nuclear safety and security', 'Nuclear security']",['Bezpieczeństwo'],"['Elektrownie jądrowe', 'Energetyka jądrowa', 'Katastrofy jądrowe', 'Konwencja wiedeńska o odpowiedzialności cywilnej za szkodę jądrową (1963)', 'Ochrona radiologiczna', 'Osłona biologiczna', 'Promieniowanie jonizujące', 'Reaktory jądrowe', 'Skażenie promieniotwórcze']",,,,
Mechanizm Ochrony Ludności,"['Mechanism for Civil Protection', 'Unijny Mechanizm Ochrony Ludności', 'Wspólnotowy Mechanizm Ochrony Ludności', 'EU Civil Protection Mechanism', 'UCPM']",['Ochrona ludności'],"['Klęski elementarne', 'Obrona cywilna']",,,,
Pociski moździerzowe,"['Pocisk moździerzowy', 'Pociski do moździerza', 'Pociski do moździerzy']",['Pociski'],['Moździerze (uzbrojenie)'],,,,
TKD (działo samobieżne),"['Czołg TK uzbrojony w działko (TKD)', 'Działo samobieżne TKD', 'Wóz towarzyszący TKD']",['Działa samobieżne'],,,,,
TKS-D (działo samobieżne),"['Działo samobieżne TKS-D', 'Niszczyciel czołgów TKS-D']","['Działa samobieżne', 'Niszczyciele czołgów']",,,,,
TK-3 (czołg),"['Czołg rozpoznawczy TK-3', 'Czołg TK-3', 'TK (czołg)', 'TK3 (czołg)']",['Czołgi rozpoznawcze'],,,,,
35 mm automatyczna armata morska KDA,"['35-mm automatyczna armata morska KDA', 'AM-35 (armata przeciwlotnicza)', 'Armata KDA kalibru 35 mm', 'Armata morska AM-35', 'Armata morska KDA 35 mm', 'Armata Oerlikon KDA 35 mm', 'KDA 35 mm (armata przeciwlotnicza)', 'System armaty morskiej AM-35', 'System automatycznej armaty morskiej AM-35']",['Armaty przeciwlotnicze'],,,,,
Skuteczność gaśnicza,['Gaśnicza skuteczność'],,"['Gaszenie (pożarnictwo)', 'Ochrona przeciwpożarowa', 'Pożar', 'Pożarnictwo', 'Sprzęt ratowniczo-gaśniczy']",,,,
Dzik (okręt ; 1942-1958),"['HDMS Springeren', 'HDMS U-1', 'HMS P-52', 'ORP Dzik (okręt ; 1942-1958)']",['Okręty podwodne'],,,,,
Funkcjonariusze Straży Granicznej,,['Zawód'],['Straż graniczna'],,,,
Stacjonowanie wojsk obcych,['Stacjonowanie obcych wojsk'],,"['Bazy wojskowe', 'Garnizon', 'Host Nation Support (HNS)', 'Operacje pokojowe', 'Projekt ""20.34, peron 4""', 'Wojsko', 'Współpraca wojskowa']",,,,
Spłonka,"['Primer (broń palna)', 'Spłonki']",['Zapalnik'],,,,,
DiveSMART Baltic,"['DiveSMART-Baltic - Diving with State Maritime Resources in The Baltic', 'Diving with State Maritime Resources in The Baltic', 'Project DiveSMART Baltic', 'Projekt DiveSMART Baltic', 'The DiveSMART Baltic']",,['Ratownictwo nurkowe'],,,,
Pociski kierowane,['Pocisk kierowany'],['Pociski'],"['Broń precyzyjnego rażenia', 'Broń rakietowa']",,,,
Moskwa (krążowniki),"['Krążowniki śmigłowcowe projektu 1123', 'Krążowniki śmigłowcowe typu Moskwa', 'Moskva (krążowniki)', 'Moskva-class helicopter carriers']",['Krążowniki'],,,,,
Iowa (pancernik ; 1943-1990),"['Iowa (okręt ; 1943-1990)', 'BB-61 (pancernik)', 'USS Iowa (BB-61)', 'Big Stick (pancernik)', 'USS Iowa (okręt ; 1943-1990)', 'Okręt USS Iowa (BB-61)']",['Pancerniki (okręty)'],,,,,
Yahagi (okręt ; 1942-1945),"['Krążownik Yahagi', 'Yahagi (cruiser ; 1942-1945)']",['Krążowniki'],,,,,
Royal Oak (okręt ; 1914-1939),"['HMS Royal Oak (okręt ; 1914-1939)', 'Pancernik HMS Royal Oak', 'Pancernik Royal Oak (1914-1939)']",['Pancerniki (okręty)'],['Zatopienie pancernika Royal Oak (1939)'],,,,
Massachusetts (okręt ; 1941-1947),"['USS Massachusetts (BB-59)', 'Pancernik USS Massachusetts (BB-59)', 'USS Massachusetts (okręt ; 1941-1947)']",['Pancerniki (okręty)'],,,,,
Akizuki (niszczyciele ; 1942-1945),"['Akizuki-class destroyers', 'Niszczyciele typu Akizuki']",['Niszczyciele (okręty)'],,['Suzutsuki (niszczyciel ; 1942-1945)'],,,
Grumman F4F Wildcat (samolot),"['Grumman F4F (G-36) Wildcat', 'Wildcat (samolot)']",['Samoloty myśliwskie'],,,,,
Pietropawłowsk (okręt ; 1911),"['Marat (okręt)', 'Pancernik Marat', 'Pancernik Pietropawłowsk', 'Pietropawłowsk pancernik typu Gangut', 'Petropavlovsk (okręt)', 'Wołchow (okręt)', 'Marat 31 (okręt)', 'Volkhov 28 (okręt)', 'Russian battleship Petropavlovsk (1911)']",['Pancerniki (okręty)'],,,,,
Vittorio Veneto (okręt),['Pancernik Vittorio Veneto'],['Pancerniki (okręty)'],,,,,
Okręt podwodny typu XXI,"['Okręty podwodne typu XXI', 'Typ XXI (okręty podwodne)', 'Type XXI submarine', 'Type XXI U-boat', 'U-Boot, type XXI', 'U-Boot-Klasse XXI', 'XXI (okręty podwodne)']",['Okręty podwodne'],,,,,
Posen (okręt),"['Pancernik Posen', 'SMS Posen (okręt)']",['Pancerniki (okręty)'],,,,,
Fubuki (niszczyciele),"['Fubuki-class destroyers', 'Niszczyciel klasy Fubuki', 'Niszczyciel typu Fubuki', 'Niszczyciele klasy Fubuki', 'Niszczyciele typu Fubuki']",['Niszczyciele (okręty)'],,,,,
Shinano (okręt),['Lotniskowiec Shinano'],,,['Lotniskowce'],,,
Niszczyciele typu 1936A,"['Narvik-class destroyers', '1936A (niszczyciele)', 'Niszczyciele typu Narvik', 'Type 1936A destroyers', 'Z23-class destroyers', 'Zerstörer 1936']",['Niszczyciele (okręty)'],,,,,
Scirè (okręt),"['Okręt podwodny Scirè', 'Scirè (sommergibile)', 'Scirè (submarine)']",['Okręty podwodne'],,,,,
Ise (okręt),"['Ise (battleship)', 'Pancernik Ise']",['Pancerniki (okręty)'],,,,,
Nagato (okręt),"['Nagato (battleship)', 'Pancernik Nagato']",['Pancerniki (okręty)'],,,,,
Schnellboot Typ S-38 (kuter torpedowy),"['S-38 (kutry torpedowe)', 'Okręt torpedowy Schnellboot Typ S-38', 'Kuter torpedowy Schnellboot Typ S-38', 'Schnellboot S-38', 'S-Boot S-38']",['Torpedowce i kutry torpedowe'],['Schnellboot Typ S-100 (kuter torpedowy)'],,,,
Schnellboot Typ S-100 (kuter torpedowy),"['Schnellboot S-100', 'S-100 (kutry torpedowe)', 'Kuter torpedowy Schnellboot Typ S-100', 'Okręt torpedowy Schnellboot Typ S-100', 'S-Boot S-100']",['Torpedowce i kutry torpedowe'],['Schnellboot Typ S-38 (kuter torpedowy)'],,,,
Shimakaze (okręt ; 1942-1944),['Niszczyciel Shimakaze (1942-1944)'],['Niszczyciele (okręty)'],,,,,
Maya (okręt),"['Krążownik Maya', 'Maya (cruiser)']",['Krążowniki'],,,,,
Musashi (okręt),"['Musashi (battleship)', 'Pancernik Musashi']",['Pancerniki (okręty)'],['Yamato (okręt)'],,,,
Mil Mi-28 (śmigłowiec),"['Mi-28 (śmigłowiec)', 'Mi-28 Havoc (śmigłowiec)', 'Havoc, Mi-28 (śmigłowiec)', 'Mi-28 Night Hunter (śmigłowiec)', 'Mi-28 Nocny Łowca (śmigłowiec)']",['Śmigłowce wojskowe'],,,,,
Dornier Do 22 (wodnosamolot),['Do 22 (wodnosamolot)'],['Wodnosamolot'],['Samoloty bombowe'],,,,
Bazy wojskowe,"['Baza wojskowa', 'Bazy wojenne', 'Military bases']",,"['Garnizon', 'Logistyka wojskowa', 'Obozy wojskowe', 'Stacjonowanie wojsk obcych', 'Fort Hood (Stany Zjednoczone, Teksas)']","['Bazy lotnicze', 'Bazy morskie']",,,
Bazy morskie,"['Baza morska', 'Naval bases']",['Bazy wojskowe'],"['Marynarka wojenna', 'Porty']",,,,
Giżycka pozycja polowa,,['Fortyfikacje polowe'],,,,,
Astoria (okręt ; 1934-1942),"['Krążownik Astoria', 'Krążownik USS Astoria', 'USS Astoria (CL/CA-34)', 'USS Astoria (CA-34)']",['New Orleans (krążowniki ; 1934-1959)'],,,,,
